id,session_id,user_message,bot_response,created_at
15,session_1775129405716_a083pi,Cuáles son todos los profesores de EGC?,"No estoy seguro de entender tu pregunta. Puedo ayudarte con informacion sobre **asignaturas** de la ETSII.

Prueba preguntando cosas como:
- ""Cuantos creditos tiene Redes?""
- ""Dame las optativas de cuarto""
- ""Que asignaturas hay en primero?""

Tambien te pueden ser utiles estos enlaces:
- [SEVIUS - Portal del Estudiante](https://sevius.us.es)
- [Universidad de Sevilla](https://www.us.es)",2026-04-02 11:35:46.238202+00
16,session_1775129150128_rnh33p,profesores de egc,"No encontré profesores asignados a ""Evolución y Gestión de la Configuración"". Es posible que aún no se hayan cargado las asignaciones.",2026-04-02 11:36:24.420295+00
17,session_1775129405716_a083pi,"Dame las optativas de cuarto ","Aquí tienes las optativas de cuarto:

*   Acceso Inteligente a la Información (Primer cuatrimestre)
*   Ampliación de Administración de Empresas (Primer cuatrimestre)
*   Aplicaciones de Soft Computing (Primer cuatrimestre)
*   Complementos de Base de Datos (Segundo cuatrimestre)
*   Criptografía (Primer cuatrimestre)
*   Derecho en la Informática (Primer cuatrimestre)
*   Emprendimiento Corporativo (Segundo cuatrimestre)
*   Gestión de la Información Empresarial (Primer cuatrimestre)

Hay 7 más. ¿Quieres ver todas?",2026-04-02 11:36:32.479694+00
18,session_1775129150128_rnh33p,profesores de dp1,"No encontré profesores asignados a ""Diseño y Pruebas I"". Es posible que aún no se hayan cargado las asignaciones.",2026-04-02 11:36:40.809148+00
19,session_1775129150128_rnh33p,como se evalua algebra,"Antes de consultar asignaturas, necesito saber tu titulación:

• **Grado en Ingeniería Informática - Ingeniería de Computadores** (GII-IC)
• **Grado en Ingeniería Informática - Ingeniería del Software** (GII-IS)
• **Grado en Ingeniería Informática - Tecnologías Informáticas** (GII-TI)

Dime cuál cursas.",2026-04-02 11:37:41.650664+00
20,session_1775129150128_rnh33p,ing de software,"✅ Cambiado a: Grado en Ingeniería Informática - Ingeniería del Software

Ahora las consultas de asignaturas serán de esta titulación.",2026-04-02 11:38:25.618639+00
21,session_1775129150128_rnh33p,profesores de egc,"No encontré profesores asignados a ""Evolución y Gestión de la Configuración"". Es posible que aún no se hayan cargado las asignaciones.",2026-04-02 11:38:37.454543+00
22,session_1775129891393_7r8i9a,IS,"✅ Cambiado a: Grado en Ingeniería Informática - Ingeniería del Software

Ahora las consultas de asignaturas serán de esta titulación.",2026-04-02 11:38:41.579481+00
23,session_1775129891393_7r8i9a,Cuáles son los profesores de EGC,"No estoy seguro de entender tu pregunta. Puedo ayudarte con informacion sobre **asignaturas** de la ETSII.

Prueba preguntando cosas como:
- ""Cuantos creditos tiene Redes?""
- ""Dame las optativas de cuarto""
- ""Que asignaturas hay en primero?""

Tambien te pueden ser utiles estos enlaces:
- [SEVIUS - Portal del Estudiante](https://sevius.us.es)
- [Universidad de Sevilla](https://www.us.es)",2026-04-02 11:38:52.276016+00
24,session_1775129150128_rnh33p,profesorado de egc,El profesorado de EGC es Christian Kästner (Colaborador) y Gunter Saake (Colaborador).,2026-04-02 11:40:31.754521+00
25,session_1775129150128_rnh33p,dame el correo de parejo,"Hay dos profesores con el apellido Parejo:

*   **Parejo Maestre, José Antonio:**
    *   Email: **japarejo@us.es**
    *   Departamento: LSI
*   **Parejo Matos, Antonio:**
    *   Email: **aparejo@us.es**
    *   Departamento: DTE",2026-04-02 11:40:47.267893+00
26,session_1775129150128_rnh33p,como se evalua algebra,"La evaluación de Álgebra Lineal y Numérica se realiza de dos formas:

*   **Evaluación continua (A):** Se valorará el proceso de aprendizaje a través de actividades evaluables a lo largo del curso, tanto en clases teórico-prácticas como en sesiones de laboratorio. Todas estas actividades tendrán la misma ponderación. La calificación se obtendrá mediante un examen al final del cuatrimestre, que puede realizarse en dos sesiones.
*   **Examen final (B):** Un examen escrito en la convocatoria oficial sobre todos los contenidos del curso (teóricos, prácticos y de laboratorio).

En ambos casos, para superar la asignatura es necesario obtener al menos 5 puntos sobre 10.",2026-04-02 11:42:15.947446+00
27,session_1775130381007_fwp2q2,"Is ","✅ Cambiado a: Grado en Ingeniería Informática - Ingeniería del Software

Ahora las consultas de asignaturas serán de esta titulación.",2026-04-02 11:46:25.259787+00
28,session_1775130381007_fwp2q2,Cómo se evalúa DP2?,"La evaluación de DP2 se basa en la calidad de las entregas de los estudiantes, que se publicarán con antelación. Se consideran entregas grupales e individuales, seminarios, talleres y cuestionarios.

En la primera convocatoria ordinaria, habrá un sistema de evaluación continua con pruebas teórico-prácticas, ponderadas entre un 20% y un 80%. Si no se aprueba, se podrá optar a un examen final en convocatorias ordinarias o extraordinarias.

El criterio específico de calificación (la fórmula) se especificará en el proyecto docente.",2026-04-02 11:46:38.300595+00
119,session_1775162507921_9my4rx,dime como se evalua algebr,"Antes de consultar asignaturas, necesito saber tu titulación:

• **Grado en Ingeniería Informática - Ingeniería de Computadores** (GII-IC)
• **Grado en Ingeniería Informática - Ingeniería del Software** (GII-IS)
• **Grado en Ingeniería Informática - Tecnologías Informáticas** (GII-TI)

Dime cuál cursas.",2026-04-02 20:48:17.745545+00
120,session_1775165445036_7v1ixw,Ingeniería de software,"✅ Cambiado a: Grado en Ingeniería Informática - Ingeniería del Software

Ahora las consultas de asignaturas serán de esta titulación.",2026-04-02 21:31:07.41479+00
121,session_1775165445036_7v1ixw,Cuales son las asignaturas de 1º?,"En 1º curso, las asignaturas son:

*   Administración de Empresas
*   Álgebra Lineal y Numérica
*   Cálculo Infinitesimal y Numérico
*   Circuitos Electrónicos Digitales
*   Estadística
*   Estructura de Computadores
*   Fundamentos de Programación
*   Fundamentos Físicos de la Informática

Hay 1 más. ¿Quieres ver todas?",2026-04-02 21:31:29.724052+00
122,session_1775165445036_7v1ixw,Cuantos años dura la totulacion?,"La información proporcionada detalla asignaturas de 4 cursos. Por lo tanto, la titulación dura 4 años.",2026-04-02 21:32:00.026091+00
123,session_1775165445036_7v1ixw,Cual es la asignatura mas dificil?,"¡Hola! Esa es una pregunta muy común. La dificultad de una asignatura es subjetiva y depende mucho de cada estudiante, pero puedo ayudarte a encontrar información sobre las asignaturas de tu grado para que puedas formarte tu propia opinión.",2026-04-02 21:32:15.713068+00
124,session_1775165445036_7v1ixw,En que empresas de sevilla podre hacer mis practicas? Dime ejemplos,"¡Hola! Aunque no gestiono directamente las prácticas, puedo indicarte que la ETSII tiene una bolsa de empleo y prácticas donde se publican ofertas. Te recomiendo que la consultes regularmente: https://etsii.us.es/bolsa-empleo/",2026-04-02 21:32:43.341085+00
125,session_1775165445036_7v1ixw,En que cosas me puedes ayudar?,"**Soy Linceus, tu asistente de la ETSII.** Puedo ayudarte con:

**Asignaturas:**
- ""Háblame de Redes de Computadores""
- ""Cuántos créditos tiene IS2?""
- ""Qué asignaturas obligatorias hay en primero?""
- ""Dame las optativas de cuarto""

**Horarios:**
- ""¿Qué horario tiene 2º grupo 1?""
- ""¿En qué aula tengo FP?""
- ""¿Qué clases hay los lunes en primero?""

**Profesores:**
- ""¿Quién da clase de FP?""
- ""Tutorías del profesor Parejo""
- ""Correo de la profesora Diana""
- ""¿En qué despacho está Ruiz Cortés?""

**Contexto académico:**
- ""Qué carrera estoy consultando?""
- ""Cambiar a Tecnologías Informáticas""

⚠️ Recuerda indicar tu titulación para que las consultas sean correctas.

¡Pregúntame lo que necesites!",2026-04-02 21:32:57.231323+00
126,session_1775165445036_7v1ixw,A que hora son las tutorias de la asignatura administracion de empresas?,"No encontré profesores asignados a ""Administración de Empresas"". Es posible que aún no se hayan cargado las asignaciones.",2026-04-02 21:33:27.328645+00
127,session_1775165445036_7v1ixw,Y de Estadística?,"Estadística es una asignatura de 6 créditos de FORMACIÓN BÁSICA que se cursa en el primer curso (C2). El temario abarca Estadística Descriptiva, Probabilidades y Series Temporales con Números Índice. La evaluación se realiza mediante evaluación alternativa (pruebas, trabajos, etc.) y un examen final, con ponderaciones definidas por el profesor.",2026-04-02 21:33:53.327953+00
128,session_1775165445036_7v1ixw,Tutorías del profesor parejo,"No encontré ningún profesor con el nombre ""Parejo"". Prueba con el apellido completo.",2026-04-02 21:34:13.292922+00
129,session_1775165445036_7v1ixw,Dime los horarios de tutorías de las asignaturas de primero,"No encontré profesores asignados a ""Fundamentos Físicos de la Informática"". Es posible que aún no se hayan cargado las asignaciones.",2026-04-02 21:34:35.190161+00
130,session_1775165445036_7v1ixw,En qué laboratorio son las practicas de FP?,"Las prácticas de Fundamentos de Programación (FP) del Curso 1 se realizan en los aulas **A0.12** y **A0.13**.  Aquí tienes el horario detallado según el grupo al que pertenezcas:

*   **Grupo 1:** Miércoles de 10:40 a 12:30, y viernes de 08:30 a 10:20 o de 12:40 a 14:30, todas en el aula A0.12.
*   **Grupo 2:** Miércoles de 12:40 a 14:30 y viernes de 10:40 a 12:30, ambas en el aula A0.13.
*   **Grupo 3:** Miércoles de 15:30 a 17:20 y viernes de 17:40 a 19:30, ambas en el aula A0.12.
*   **Grupo 4:** Miércoles de 17:40 a 19:30 y viernes de 15:30 a 17:20, ambas en el aula A0.13.

Esta asignatura, de 12 créditos y duración anual, es de Formación Básica.",2026-04-02 21:35:02.022321+00
131,session_1775190571814_m520ks,Ingeniería del Software,"✅ Cambiado a: Grado en Ingeniería Informática - Ingeniería del Software

Ahora las consultas de asignaturas serán de esta titulación.",2026-04-03 04:29:55.239291+00
132,session_1775190571814_m520ks,Que profesores imparten ISPP?,"Los profesores que imparten Ingeniería del Software y Práctica Profesional son:

*   CABANILLAS MACIAS, CRISTINA
*   MÜLLER CEJAS, CARLOS GUILLERMO
*   FERNANDEZ MONTES, PABLO (Coordinador de la asignatura)

Además, se indica que el profesorado puede sufrir modificaciones a lo largo del curso.",2026-04-03 04:30:16.69811+00
133,session_1775190571814_m520ks,Y bedilia?,"No he encontrado informacion sobre eso. Puedo ayudarte con **asignaturas**, **horarios** y **profesores** de la ETSII. Escribe 'ayuda' para ver ejemplos.",2026-04-03 04:30:45.519526+00
134,session_1775190571814_m520ks,Cuando se entrega el TFG?,No he encontrado información detallada del plan docente de **Trabajo Fin de Grado** en la titulación **GII-IS**. ¿Estás seguro de que esta asignatura pertenece a esa titulación?,2026-04-03 04:31:07.735918+00
135,session_1775190571814_m520ks,Si,No hay resultados pendientes de mostrar.,2026-04-03 04:31:14.102809+00
136,session_1775194362848_l7kqzf,Cómo se evaluaba DP1?,"Antes de consultar asignaturas, necesito saber tu titulación:

• **Grado en Ingeniería Informática - Ingeniería de Computadores** (GII-IC)
• **Grado en Ingeniería Informática - Ingeniería del Software** (GII-IS)
• **Grado en Ingeniería Informática - Tecnologías Informáticas** (GII-TI)

Dime cuál cursas.",2026-04-03 05:33:14.036729+00
137,session_1775194362848_l7kqzf,GII IS,"✅ Cambiado a: Grado en Ingeniería Informática - Ingeniería del Software

Ahora las consultas de asignaturas serán de esta titulación.",2026-04-03 05:33:23.684021+00
138,session_1775194362848_l7kqzf,Cómo se evaluaban DP1 y PSG2?,"La evaluación de DP1 y PSG2 se realiza a través de una evaluación continua durante el curso.

*   **Evaluación individual (T*)**: Pruebas tipo test, ejercicios teórico/prácticos u otras pruebas individuales (30% de la calificación). Se realizarán al menos tres pruebas a lo largo del curso.
*   **Evaluación grupal (D*)**: Proyectos realizados en grupo, considerando la autoría, asistencia y trabajo individual, así como la presentación y defensa de los resultados (70% de la calificación).

Para superar la asignatura, es necesario obtener un mínimo del 40% en T* y en D*. La calificación final (C) se calcula de la siguiente manera:

*   Si T* >= 1,2 y D* >= 2,8, entonces C = T* + D*.
*   En otro caso, C será el mínimo entre 4 y (T* + D*).",2026-04-03 05:33:56.036571+00
139,session_1775194362848_l7kqzf,Cuál es el horario de tutorías de José Antonio Parejo?,"No encontré ningún profesor con el nombre ""José Antonio Parejo"". Prueba con el apellido completo.",2026-04-03 05:34:44.744321+00
140,session_1775194362848_l7kqzf,José Antonio Parejo Maestre,"No encontré ningún profesor con el nombre ""José Antonio Parejo Maestre"". Prueba con el apellido completo.",2026-04-03 05:35:08.285398+00
141,session_1775194362848_l7kqzf,Y Alejandro García Fernández?,"No encontré ningún profesor con el nombre ""Fernández"". Prueba con el apellido completo.",2026-04-03 05:35:34.209246+00
142,session_1775210022108_ihczfn,Ingeniería de la Salud,"✅ Cambiado a: Grado en Ingeniería Informática - Ingeniería del Software

Ahora las consultas de asignaturas serán de esta titulación.",2026-04-03 09:54:21.023899+00
143,session_1775210022108_ihczfn,¿Qué nota de corte tiene el grado?,¡Hola! La nota de corte del Grado en Ingeniería en Informática (GII-IS) varía cada año. Puedes consultarla en la página web de la Universidad de Sevilla o en la página específica del grado.,2026-04-03 09:54:45.508311+00
144,session_1775210022108_ihczfn,¿Y no me la puedes decir tú?,"¡Hola! Para poder ayudarte, necesito que me digas a qué te refieres con 'la'. ¿Qué información estás buscando?",2026-04-03 09:54:59.808314+00
145,session_1775210022108_ihczfn,La nota de corte del grado,No encontré información detallada del plan docente de **Trabajo Fin de Grado**. ¿Puedes reformular la pregunta?,2026-04-03 09:55:08.876197+00
146,session_1775210022108_ihczfn,¿Qué tal estás?,"Para consultar el horario necesito que me digas: **curso** (1º, 2º, 3º o 4º) y **grupo**.

Dime por ejemplo: *horario de 2º grupo 1*

O consulta el PDF completo:
[Horarios ETSII 2025-26](https://www.informatica.us.es/docs/orgdocente/horarios-grados-2025-26.pdf)",2026-04-03 09:55:21.355819+00
147,session_1775210022108_ihczfn,Horario de 3º grupo 2,"Aquí tienes el horario de 3º Ingeniería del Software, Grupo 2:

**Lunes:**
*   08:30-10:20: Diseño y Pruebas I (F1.33) / Modelado y Visualización Gráfica (A1.10)
*   10:40-12:30: Diseño y Pruebas I (A1.10) / Diseño y Pruebas II (A1.16)
*   12:40-14:30: Ingeniería de Requisitos (A1.10)

**Martes:**
*   08:30-10:20: Arquitectura y Servicios de Redes (G1.33) / Modelado y Simulación Numérica (A1.10)
*   10:40-12:30: Arquitectura y Servicios de Redes (A1.10) / Procesamiento de Señales Multimedia (A1.10)
*   12:40-14:30: Procesamiento de Señales Multimedia (B1.33) / Proceso Software y Gestión II (A1.10)

**Miércoles:**
*   08:30-10:20: Arquitectura y Servicios de Redes (A1.10) / Diseño y Pruebas I (A1.10)
*   10:40-12:30: Inteligencia Artificial (A1.10) / Proceso Software y Gestión I (A1.16)
*   12:40-14:30: Arquitectura y Servicios de Redes (G1.31) / Inteligencia Artificial (A4.32) / Procesamiento de Señales",2026-04-03 09:55:45.560457+00
148,session_1775214325658_1f76z3,GII-TI,"✅ Cambiado a: Grado en Ingeniería Informática - Tecnologías Informáticas

Ahora las consultas de asignaturas serán de esta titulación.",2026-04-03 11:05:57.239261+00
149,session_1775214325658_1f76z3,Cuánto es 2+2?,"¡Hola! Esa pregunta no está relacionada con la ETSII, pero la respuesta es 4. ¡Espero que tengas un buen día!",2026-04-03 11:06:19.903452+00
150,session_1775214325658_1f76z3,Cristiano Ronaldo es mejor que messi?,"Aqui tienes algo para animarte:

Te ha sido util esta informacion?",2026-04-03 11:06:35.982993+00
151,session_1775214325658_1f76z3,Sabes quién es Alfonso bengoa?,No encontré ninguna asignatura llamada 'bengoa' en Grado en Ingeniería Informática - Tecnologías Informáticas.,2026-04-03 11:06:56.85593+00
152,session_1775214325658_1f76z3,PD?,¡Hola! 'PD' puede referirse a muchas cosas. ¿Podrías ser más específico con tu pregunta para que pueda ayudarte?,2026-04-03 11:07:19.117248+00
153,session_1775217725300_nwyd3o,GII-IS,"✅ Cambiado a: Grado en Ingeniería Informática - Ingeniería del Software

Ahora las consultas de asignaturas serán de esta titulación.",2026-04-03 12:03:21.42031+00
154,session_1775217725300_nwyd3o,"Horarios de las asignaturas del segundo cuatrimestre de formación básica ",No encontré asignaturas con esos criterios.,2026-04-03 12:04:32.138377+00
155,session_1775219314450_np2kun,Hola,"¡Hola! Soy **Linceus**, el asistente virtual de la ETSII (Universidad de Sevilla). ¿En qué puedo ayudarte hoy?

Antes de empezar, por favor indícame tu titulación:

• **Ingeniería del Software** (GII-IS)
• **Tecnologías Informáticas** (GII-TI)
• **Ingeniería de Computadores** (GII-IC)",2026-04-03 12:28:51.694781+00
156,session_1775234826167_cb6o2s,Ing de software,"✅ Cambiado a: Grado en Ingeniería Informática - Ingeniería del Software

Ahora las consultas de asignaturas serán de esta titulación.",2026-04-03 16:47:20.941969+00
157,session_1775234826167_cb6o2s,Como se evalua fp,"La evaluación de Fundamentos de Programación se compone de:

*   **Evaluación continua:**
    *   50% Pruebas prácticas individuales (P)
    *   10% Ejercicios prácticos individuales (T)
    *   40% Examen (E)
    *   Para aprobar cada cuatrimestre, necesitas un mínimo de 3 puntos en P, T y E, y una nota final (F) de al menos 4 puntos en cada cuatrimestre. La nota final de la asignatura es la media de los dos cuatrimestres, y debe ser de al menos 5 puntos.
*   **Evaluación ordinaria:** Si no realizas o no apruebas la evaluación continua, puedes hacer un examen final práctico con dos partes (una por cuatrimestre). Necesitas un 5 en cada parte y un 5 en la media para aprobar. Si sacaste un 5 o más en un cuatrimestre en la evaluación continua, solo tienes que hacer el examen del otro cuatrimestre.
*   **Segunda y tercera convocatoria:** Exámenes prácticos con dos partes (una por cuatrimestre). Necesitas un 5 en cada parte para aprobar. En la segunda convocatoria, si aprobaste un cuatrimestre en la primera, solo haces el examen del otro. En la tercera, no se conservan notas de convocatorias anteriores.",2026-04-03 16:47:47.956973+00
158,session_1775238777864_7btxgh,gii is,"✅ Cambiado a: Grado en Ingeniería Informática - Ingeniería del Software

Ahora las consultas de asignaturas serán de esta titulación.",2026-04-03 17:53:12.284975+00
159,session_1775238777864_7btxgh,quien es adrian romero flores,"No he encontrado informacion sobre eso. Puedo ayudarte con **asignaturas**, **horarios** y **profesores** de la ETSII. Escribe 'ayuda' para ver ejemplos.",2026-04-03 17:53:21.969265+00
160,session_1775238777864_7btxgh,"profesores ","La información disponible se centra en las asignaturas del plan de estudios. Aquí tienes una lista de las asignaturas disponibles:

**Curso 1:**

*   Administración de Empresas (6 créditos)
*   Álgebra Lineal y Numérica (6 créditos)
*   Cálculo Infinitesimal y Numérico (6 créditos)
*   Circuitos Electrónicos Digitales (6 créditos)
*   Estadística (6 créditos)
*   Estructura de Computadores (6 créditos)
*   Fundamentos de Programación (12 créditos)
*   Fundamentos Físicos de la Informática (6 créditos)
*   Introducción a la Matemática Discreta (6 créditos)

**Curso 2:**

*   Análisis y Diseño de Datos y Algoritmos (6 créditos)
*   Arquitectura de Computadores (6 créditos)
*   Arquitectura e Integración de Sistemas Software",2026-04-03 17:53:37.489089+00
161,session_1775238777864_7btxgh,adda,"""adda"" corresponde a la asignatura Análisis y Diseño de Datos y Algoritmos (código 2050010), una asignatura obligatoria de segundo curso. La bibliografía general recomendada incluye libros sobre Java y algoritmos de autores como Arnold, Gosling, Eckel, Wirth y Cormen. La evaluación se basa en exámenes parciales y finales, así como en actividades de evaluación continua como cuestionarios y trabajos prácticos.",2026-04-03 17:53:53.71415+00
162,session_1775238777864_7btxgh,"quienes son los profesores de esa asignatura ","Lo siento, la información proporcionada no incluye datos sobre los profesores de las asignaturas. Solo tengo el código, nombre, curso, créditos, duración y tipología de cada una.",2026-04-03 17:54:14.349769+00
163,session_1775238777864_7btxgh,ayuda,"**Soy Linceus, tu asistente de la ETSII.** Puedo ayudarte con:

**Asignaturas:**
- ""Háblame de Redes de Computadores""
- ""Cuántos créditos tiene IS2?""
- ""Qué asignaturas obligatorias hay en primero?""
- ""Dame las optativas de cuarto""

**Horarios:**
- ""¿Qué horario tiene 2º grupo 1?""
- ""¿En qué aula tengo FP?""
- ""¿Qué clases hay los lunes en primero?""

**Profesores:**
- ""¿Quién da clase de FP?""
- ""Tutorías del profesor Parejo""
- ""Correo de la profesora Diana""
- ""¿En qué despacho está Ruiz Cortés?""

**Contexto académico:**
- ""Qué carrera estoy consultando?""
- ""Cambiar a Tecnologías Informáticas""

⚠️ Recuerda indicar tu titulación para que las consultas sean correctas.

¡Pregúntame lo que necesites!",2026-04-03 17:54:32.220366+00
164,session_1775238777864_7btxgh,"en que despacho esta ruiz cortes ","Hay dos profesores con el apellido Ruiz Cortés:

*   **Ruiz Cortés, Antonio**:
    *   Despacho: **F0.53**
*   **Ruiz Cortés, David**:
    *   Despacho: **F1.46**",2026-04-03 17:54:56.502434+00
165,session_1775238777864_7btxgh,que asignatura da el profesor adrian romero flores,"No he encontrado informacion sobre eso. Puedo ayudarte con **asignaturas**, **horarios** y **profesores** de la ETSII. Escribe 'ayuda' para ver ejemplos.",2026-04-03 17:55:16.810036+00
166,session_1775243433004_4iw3c6,Dp1,"Antes de consultar asignaturas, necesito saber tu titulación:

• **Grado en Ingeniería Informática - Ingeniería de Computadores** (GII-IC)
• **Grado en Ingeniería Informática - Ingeniería del Software** (GII-IS)
• **Grado en Ingeniería Informática - Tecnologías Informáticas** (GII-TI)

Dime cuál cursas.",2026-04-03 19:11:14.491544+00
167,session_1775243433004_4iw3c6,Software,"✅ Cambiado a: Grado en Ingeniería Informática - Ingeniería del Software

Ahora las consultas de asignaturas serán de esta titulación.",2026-04-03 19:11:27.344914+00
168,session_1775243433004_4iw3c6,Dp1,"Dp1 corresponde a la asignatura **Diseño y Pruebas I**, que es de **3º curso** y tiene una duración de **primer cuatrimestre**. Es una asignatura **obligatoria** de **6.0 ECTS**.",2026-04-03 19:11:38.879594+00
169,session_1775243433004_4iw3c6,Pero qué se hace en dp1?,"En DP1, o Diseño y Pruebas I, aprenderás a desarrollar sistemas de información web de pequeña o mediana escala. La asignatura cubre temas como el diseño de frontend y backend, sistemas de persistencia, pruebas de software y seguridad. Se basa en clases teóricas y prácticas, culminando en el desarrollo de un proyecto realista.",2026-04-03 19:12:08.985044+00
170,session_1775243433004_4iw3c6,"Pero qué tecnología usa? Dame ejemplos ","Hola! Parece que te refieres a las tecnologías que se utilizan en la ETSII. Depende mucho de la asignatura, pero en general se usan herramientas de desarrollo de software, sistemas operativos, redes, bases de datos, etc.",2026-04-03 19:12:38.819759+00
171,session_1775243433004_4iw3c6,"No, me refería a dp1, si se usa spring boot o qué se usa","El plan docente de DP1 no especifica si se utiliza Spring Boot. Sin embargo, los contenidos incluyen diseño de sistemas backend y de persistencia, lo que sugiere que se pueden emplear frameworks para el desarrollo de estos componentes. La elección de herramientas concretas, como Spring Boot, dependerá del proyecto específico que se realice en la asignatura.",2026-04-03 19:13:32.497955+00
172,session_1775298915129_6obqvf,GII-IS,"✅ Cambiado a: Grado en Ingeniería Informática - Ingeniería del Software

Ahora las consultas de asignaturas serán de esta titulación.",2026-04-04 10:35:44.82068+00
173,session_1775298915129_6obqvf,Diseño y Pruebas I,"La asignatura ""Diseño y Pruebas I"" cubre los siguientes temas:

1.  Introducción al diseño y las pruebas del software
2.  Introducción al diseño de capas de presentación en sistemas de información
3.  Introducción al diseño de la lógica de negocio en sistemas de información
4.  Introducción al diseño de modelos de datos en sistemas de información.
5.  Diseño de sistemas de información
6.  Diseño de modelos de datos
7.  Refactorización
8.  Patrones de diseño
9.  Introducción a las pruebas de sistemas de información (en algunos grupos)

La evaluación se basa en:

*   **Entregables:** Proyectos prácticos evaluados según requisitos de calidad.
*   **Controles:** Preguntas y problemas prácticos para evaluar conocimientos teóricos y prácticos.

La metodología es teórico-práctica, con desarrollo de un proyecto realista.",2026-04-04 10:36:04.415107+00
